season,year,country,total_contingent,total_medal,total_gold,total_silver,total_bronze
Summer,1912,Denmark,152,12,1,6,5
Summer,1912,Greece,22,2,1,0,1
Summer,1912,Czech Republic,43,0,0,0,0
Summer,1912,Canada,37,8,3,2,3
Summer,1912,Netherlands,33,3,0,0,3
Summer,1912,Australia,25,7,2,2,3
Summer,1912,South Africa,21,6,4,2,0
Summer,1912,Portugal,6,0,0,0,0
Summer,1912,Switzerland,7,1,1,0,0
Summer,1912,,0,0,0,0,0
Summer,1912,Iceland,2,0,0,0,0
Summer,1912,Japan,2,0,0,0,0
Summer,1912,Serbia,2,0,0,0,0
Summer,1912,Turkey,2,0,0,0,0
Summer,1912,Poland,1,0,0,0,0
Summer,1920,Denmark,154,13,3,9,1
Summer,1920,Finland,63,34,15,10,9
Summer,1920,Norway,193,29,10,10,9
Summer,1920,Egypt,18,0,0,0,0
Summer,1920,UK,234,43,14,16,13
Summer,1920,Sweden,260,64,19,20,25
Summer,1920,Spain,58,2,0,2,0
Summer,1920,USA,288,95,41,27,27
Summer,1920,Switzerland,77,11,2,2,7
Summer,1920,Belgium,336,42,16,12,14
Summer,1920,France,304,42,9,20,13
Summer,1920,Italy,174,25,14,6,5
Summer,1920,Luxembourg,25,1,0,1,0
Summer,1920,Brazil,19,3,1,1,1
Summer,1920,Greece,47,1,0,1,0
Summer,1920,Czech Republic,119,2,0,0,2
Summer,1920,India,5,0,0,0,0
Summer,1920,Monaco,4,0,0,0,0
Summer,1920,Chile,2,0,0,0,0
Summer,1920,Canada,52,9,3,3,3
Summer,1920,Australia,13,3,0,2,1
Summer,1920,Netherlands,130,11,4,2,5
Summer,1920,South Africa,39,10,3,4,3
Summer,1920,Portugal,13,0,0,0,0
Summer,1920,Serbia,15,0,0,0,0
Summer,1920,New Zealand,4,1,0,0,1
Summer,1920,Japan,15,2,0,2,0
Summer,1920,Estonia,14,3,1,2,0
Summer,1920,Argentina,1,0,0,0,0
Summer,1924,Finland,121,37,14,13,10
Summer,1924,Norway,62,10,5,2,3
Summer,1924,Bulgaria,24,0,0,0,0
Summer,1924,Chile,13,0,0,0,0
Summer,1924,Switzerland,141,25,7,8,10
Summer,1924,Monaco,7,1,0,0,1
Summer,1924,UK,267,35,9,14,12
Summer,1924,France,401,40,14,14,12
Summer,1924,Belgium,172,13,3,7,3
Summer,1924,Hungary,89,10,2,4,4
Summer,1924,Poland,65,2,0,1,1
Summer,1924,Austria,49,4,0,3,1
Summer,1924,Sweden,159,29,4,13,12
Summer,1924,Netherlands,177,11,4,1,6
Summer,1924,Egypt,24,0,0,0,0
Summer,1924,Mexico,15,0,0,0,0
Summer,1924,Argentina,77,6,1,3,2
Summer,1924,Turkey,22,0,0,0,0
Summer,1924,Italy,200,16,8,3,5
Summer,1924,USA,299,99,45,27,27
Summer,1924,Cuba,9,0,0,0,0
Summer,1924,Spain,95,0,0,0,0
Summer,1924,Luxembourg,48,2,1,1,0
Summer,1924,Greece,39,1,1,0,0
Summer,1924,Denmark,89,11,2,6,3
Summer,1924,Uruguay,26,1,1,0,0
Summer,1924,Australia,36,6,3,1,2
Summer,1924,Czech Republic,133,10,1,4,5
Summer,1924,Lithuania,13,0,0,0,0
Summer,1924,Estonia,37,6,1,1,4
Summer,1924,Latvia,36,0,0,0,0
Summer,1924,Serbia,42,2,2,0,0
Summer,1924,Haiti,8,1,0,0,1
Summer,1924,Romania,35,1,0,0,1
Summer,1924,Canada,65,4,0,3,1
Summer,1924,South Africa,30,3,1,1,1
Summer,1924,Ireland,48,2,0,1,1
Summer,1924,Portugal,28,1,0,0,1
Summer,1924,Brazil,12,0,0,0,0
Summer,1924,Japan,19,1,0,0,1
Summer,1924,India,13,0,0,0,0
Summer,1924,New Zealand,4,1,0,0,1
Summer,1924,Ecuador,3,0,0,0,0
Summer,1924,Philippines,1,0,0,0,0
Summer,1924,Russia,3,0,0,0,0
Summer,1928,Norway,52,4,1,2,1
Summer,1928,Egypt,32,4,2,1,1
Summer,1928,USA,280,56,22,18,16
Summer,1928,India,21,1,1,0,0
Summer,1928,Switzerland,133,17,7,6,4
Summer,1928,Germany,295,39,11,9,19
Summer,1928,UK,232,22,4,11,7
Summer,1928,Canada,69,15,4,4,7
Summer,1928,Sweden,100,25,7,6,12
Summer,1928,Belgium,187,3,0,1,2
Summer,1928,France,255,25,7,12,6
Summer,1928,Netherlands,266,23,8,10,5
Summer,1928,Italy,174,20,7,6,7
Summer,1928,Mexico,30,0,0,0,0
Summer,1928,Finland,69,25,8,8,9
Summer,1928,Denmark,91,9,3,2,4
Summer,1928,Japan,40,5,2,2,1
Summer,1928,Lithuania,12,0,0,0,0
Summer,1928,Argentina,81,7,3,3,1
Summer,1928,Romania,21,0,0,0,0
Summer,1928,Spain,80,1,1,0,0
Summer,1928,Chile,38,1,0,1,0
Summer,1928,Luxembourg,48,1,1,0,0
Summer,1928,Portugal,32,1,0,0,1
Summer,1928,Greece,23,0,0,0,0
Summer,1928,Uruguay,17,1,1,0,0
Summer,1928,Austria,73,4,3,0,1
Summer,1928,Ireland,38,1,1,0,0
Summer,1928,Poland,93,7,2,1,4
Summer,1928,Serbia,34,5,1,1,3
Summer,1928,Czech Republic,69,9,2,5,2
Summer,1928,Turkey,31,0,0,0,0
Summer,1928,South Africa,24,3,1,0,2
Summer,1928,Hungary,109,10,5,5,0
Summer,1928,Monaco,10,0,0,0,0
Summer,1928,Cuba,1,0,0,0,0
Summer,1928,Latvia,17,0,0,0,0
Summer,1928,Zimbabwe,2,0,0,0,0
Summer,1928,Australia,18,4,1,2,1
Summer,1928,Malta,9,0,0,0,0
Summer,1928,Haiti,2,1,0,1,0
Summer,1928,New Zealand,9,1,1,0,0
Summer,1928,Estonia,20,5,2,1,2
Summer,1928,Philippines,4,1,0,0,1
Summer,1928,Panama,1,0,0,0,0
Summer,1928,Bulgaria,5,0,0,0,0
Summer,1932,Netherlands,46,8,2,5,1
Summer,1932,USA,474,110,44,36,30
Summer,1932,Belgium,36,1,0,0,1
Summer,1932,France,103,20,11,5,4
Summer,1932,Philippines,8,3,0,0,3
Summer,1932,Italy,112,36,12,12,12
Summer,1932,Finland,40,25,5,8,12
Summer,1932,Sweden,81,24,10,5,9
Summer,1932,UK,107,17,5,7,5
Summer,1932,Mexico,73,2,0,2,0
Summer,1932,Germany,145,24,5,12,7
Summer,1932,India,19,1,1,0,0
Summer,1932,Spain,7,1,0,0,1
Summer,1932,Brazil,59,0,0,0,0
Summer,1932,Denmark,43,8,0,5,3
Summer,1932,Japan,157,18,7,7,4
Summer,1932,Canada,102,16,2,5,9
Summer,1932,Argentina,33,4,3,1,0
Summer,1932,Hungary,58,16,6,5,5
Summer,1932,Czech Republic,25,6,1,3,2
Summer,1932,South Africa,12,5,2,0,3
Summer,1932,Poland,51,9,3,2,4
Summer,1932,Australia,13,5,3,1,1
Summer,1932,Latvia,5,1,0,1,0
Summer,1932,Peru,2,0,0,0,0
Summer,1932,New Zealand,21,1,0,1,0
Summer,1932,Austria,19,5,1,1,3
Summer,1932,Haiti,3,0,0,0,0
Summer,1932,Greece,10,0,0,0,0
Summer,1932,Ireland,16,2,2,0,0
Summer,1932,Romania,1,0,0,0,0
Summer,1932,Cuba,3,0,0,0,0
Summer,1932,Norway,7,0,0,0,0
Summer,1932,Switzerland,7,1,0,1,0
Summer,1932,Portugal,6,0,0,0,0
Summer,1932,Colombia,2,0,0,0,0
Summer,1932,El Salvador,1,0,0,0,0
Summer,1932,Uruguay,2,1,0,0,1
Summer,1932,Venezuela,1,0,0,0,0
Summer,1932,Luxembourg,3,0,0,0,0
Summer,1932,Estonia,2,0,0,0,0
Summer,1932,Bulgaria,2,0,0,0,0
Summer,1932,China,1,0,0,0,0
Summer,1932,Guatemala,1,0,0,0,0
Summer,1932,Serbia,1,0,0,0,0
Summer,1932,Turkey,1,0,0,0,0
Summer,1932,Monaco,1,0,0,0,0
Summer,1936,Estonia,33,7,2,2,3
Summer,1936,Norway,70,6,1,3,2
Summer,1936,Hungary,216,16,10,1,5
Summer,1936,Italy,244,27,9,13,5
Summer,1936,Egypt,53,5,2,1,2
Summer,1936,Japan,220,20,6,4,10
Summer,1936,Monaco,8,0,0,0,0
Summer,1936,UK,208,14,4,7,3
Summer,1936,Romania,54,1,0,1,0
Summer,1936,Mexico,32,3,0,0,3
Summer,1936,Chile,40,0,0,0,0
Summer,1936,USA,359,57,24,21,12
Summer,1936,Germany,433,101,38,31,32
Summer,1936,Canada,97,9,1,3,5
Summer,1936,Turkey,48,2,1,0,1
Summer,1936,Belgium,150,3,0,0,3
Summer,1936,Uruguay,37,0,0,0,0
Summer,1936,Philippines,28,1,0,0,1
Summer,1936,Sweden,171,21,6,5,10
Summer,1936,Switzerland,190,18,4,9,5
Summer,1936,Afghanistan,15,0,0,0,0
Summer,1936,Argentina,51,7,2,2,3
Summer,1936,Finland,108,20,8,6,6
Summer,1936,Brazil,73,0,0,0,0
Summer,1936,Poland,144,9,0,4,5
Summer,1936,Peru,40,0,0,0,0
Summer,1936,France,201,19,7,6,6
Summer,1936,India,27,1,1,0,0
Summer,1936,Austria,234,17,5,7,5
Summer,1936,Denmark,121,5,0,2,3
Summer,1936,Latvia,29,2,0,1,1
Summer,1936,Portugal,19,1,0,0,1
Summer,1936,Bulgaria,26,0,0,0,0
Summer,1936,Greece,41,0,0,0,0
Summer,1936,New Zealand,7,1,1,0,0
Summer,1936,Czech Republic,190,9,3,5,1
Summer,1936,Australia,32,1,0,0,1
Summer,1936,Netherlands,165,17,6,4,7
Summer,1936,Serbia,93,1,0,1,0
Summer,1936,China,54,0,0,0,0
Summer,1936,Bermuda,5,0,0,0,0
Summer,1936,Malta,11,0,0,0,0
Summer,1936,South Africa,32,1,0,1,0
Summer,1936,Luxembourg,49,0,0,0,0
Summer,1936,Bolivia,2,0,0,0,0
Summer,1936,Costa Rica,1,0,0,0,0
Summer,1936,Colombia,5,0,0,0,0
Summer,1936,Liechtenstein,6,0,0,0,0
Summer,1936,Iceland,12,0,0,0,0
Summer,1948,Finland,129,22,8,8,6
Summer,1948,Norway,81,7,1,3,3
Summer,1948,Iran,36,1,0,0,1
Summer,1948,Egypt,85,5,2,2,1
Summer,1948,Pakistan,35,0,0,0,0
Summer,1948,Monaco,4,0,0,0,0
Summer,1948,Uruguay,61,2,0,1,1
Summer,1948,Sweden,181,46,17,11,18
Summer,1948,Turkey,58,12,6,4,2
Summer,1948,Italy,215,31,9,12,10
Summer,1948,Chile,54,0,0,0,0
Summer,1948,Denmark,162,22,5,8,9
Summer,1948,Mexico,88,5,2,1,2
Summer,1948,France,316,32,11,6,15
Summer,1948,Poland,38,2,1,0,1
Summer,1948,Spain,65,1,0,1,0
Summer,1948,Belgium,152,7,2,2,3
Summer,1948,UK,407,27,4,16,7
Summer,1948,Philippines,26,0,0,0,0
Summer,1948,Switzerland,186,22,5,12,5
Summer,1948,Afghanistan,25,0,0,0,0
Summer,1948,Australia,75,13,2,6,5
Summer,1948,Cuba,53,1,0,1,0
Summer,1948,Argentina,199,7,3,3,1
Summer,1948,Ireland,73,1,0,0,1
Summer,1948,India,79,1,1,0,0
Summer,1948,USA,300,84,38,27,19
Summer,1948,Iraq,11,0,0,0,0
Summer,1948,Peru,41,1,1,0,0
Summer,1948,Colombia,6,0,0,0,0
Summer,1948,Brazil,70,1,0,0,1
Summer,1948,Serbia,90,2,0,2,0
Summer,1948,Austria,148,8,2,2,4
Summer,1948,South Korea,46,2,0,0,2
Summer,1948,Hungary,128,27,10,5,12
Summer,1948,Netherlands,149,16,5,2,9
Summer,1948,Luxembourg,45,0,0,0,0
Summer,1948,Greece,61,0,0,0,0
Summer,1948,Iceland,20,0,0,0,0
Summer,1948,South Africa,35,6,2,2,2
Summer,1948,Canada,127,4,0,2,2
Summer,1948,Czech Republic,87,11,6,2,3
Summer,1948,Puerto Rico,9,1,0,0,1
Summer,1948,Bermuda,12,0,0,0,0
Summer,1948,Portugal,48,2,0,1,1
Summer,1948,Lebanon,8,0,0,0,0
Summer,1948,Jamaica,13,3,1,2,0
Summer,1948,Liechtenstein,2,0,0,0,0
Summer,1948,New Zealand,7,0,0,0,0
Summer,1948,China,31,0,0,0,0
Summer,1948,Guyana,4,0,0,0,0
Summer,1948,Sri Lanka,7,1,0,1,0
Summer,1948,Trinidad,5,1,0,1,0
Summer,1948,Malta,1,0,0,0,0
Summer,1948,Panama,1,2,0,0,2
Summer,1948,Venezuela,1,0,0,0,0
Summer,1948,Myanmar,4,0,0,0,0
Summer,1948,Syria,1,0,0,0,0
Summer,1948,,0,0,0,0,0
Summer,1952,Finland,258,22,6,3,13
Summer,1952,Norway,102,5,3,2,0
Summer,1952,Egypt,106,1,0,0,1
Summer,1952,France,245,18,6,6,6
Summer,1952,Pakistan,38,0,0,0,0
Summer,1952,Monaco,8,0,0,0,0
Summer,1952,Spain,27,1,0,1,0
Summer,1952,Sweden,206,35,12,13,10
Summer,1952,Romania,114,4,1,1,2
Summer,1952,Turkey,51,3,2,0,1
Summer,1952,Argentina,123,5,1,2,2
Summer,1952,Uruguay,32,2,0,0,2
Summer,1952,Ghana,7,0,0,0,0
Summer,1952,Denmark,129,6,2,1,3
Summer,1952,Hungary,189,42,16,10,16
Summer,1952,Canada,107,3,1,2,0
Summer,1952,Poland,125,4,1,2,1
Summer,1952,Germany,241,24,0,7,17
Summer,1952,Brazil,97,3,1,0,2
Summer,1952,USA,286,76,40,19,17
Summer,1952,Chile,59,2,0,2,0
Summer,1952,Iran,22,7,0,3,4
Summer,1952,Australia,81,11,6,2,3
Summer,1952,Italy,231,21,8,9,4
Summer,1952,Cuba,29,0,0,0,0
Summer,1952,Nigeria,9,0,0,0,0
Summer,1952,Austria,112,2,0,1,1
Summer,1952,Netherlands,104,5,0,5,0
Summer,1952,Switzerland,157,14,2,6,6
Summer,1952,Bahamas,7,0,0,0,0
Summer,1952,Russia,295,70,22,29,19
Summer,1952,Belgium,135,4,2,2,0
Summer,1952,UK,257,11,1,2,8
Summer,1952,Mexico,64,1,0,1,0
Summer,1952,Portugal,71,1,0,0,1
Summer,1952,Venezuela,38,1,0,0,1
Summer,1952,Israel,25,0,0,0,0
Summer,1952,South Africa,64,10,2,4,4
Summer,1952,Luxembourg,44,1,1,0,0
Summer,1952,Bulgaria,63,1,0,0,1
Summer,1952,Puerto Rico,21,0,0,0,0
Summer,1952,India,64,2,1,0,1
Summer,1952,Japan,69,8,1,6,1
Summer,1952,Greece,48,0,0,0,0
Summer,1952,New Zealand,14,3,1,0,2
Summer,1952,Philippines,25,0,0,0,0
Summer,1952,Czech Republic,99,13,7,3,3
Summer,1952,Serbia,87,3,1,2,0
Summer,1952,Bermuda,6,0,0,0,0
Summer,1952,Guatemala,21,0,0,0,0
Summer,1952,,0,0,0,0,0
Summer,1952,Iceland,9,0,0,0,0
Summer,1952,Curacao,11,0,0,0,0
Summer,1952,Ireland,19,1,0,1,0
Summer,1952,Vietnam,8,0,0,0,0
Summer,1952,Panama,1,0,0,0,0
Summer,1952,China,5,0,0,0,0
Summer,1952,Lebanon,9,2,0,1,1
Summer,1952,South Korea,19,2,0,0,2
Summer,1952,Sri Lanka,5,0,0,0,0
Summer,1952,Jamaica,8,5,2,3,0
Summer,1952,Liechtenstein,2,0,0,0,0
Summer,1952,Trinidad,2,2,0,0,2
Summer,1952,Thailand,8,0,0,0,0
Summer,1952,Myanmar,5,0,0,0,0
Summer,1952,Guyana,1,0,0,0,0
Summer,1952,Indonesia,3,0,0,0,0
Summer,1956,Norway,22,3,1,0,2
Summer,1956,France,145,14,4,4,6
Summer,1956,Bulgaria,47,5,1,3,1
Summer,1956,South Africa,50,4,0,0,4
Summer,1956,Afghanistan,12,0,0,0,0
Summer,1956,New Zealand,51,2,2,0,0
Summer,1956,Belgium,57,2,0,2,0
Summer,1956,Australia,298,35,13,8,14
Summer,1956,Philippines,39,0,0,0,0
Summer,1956,Russia,281,98,37,29,32
Summer,1956,Trinidad,6,0,0,0,0
Summer,1956,Sweden,97,19,8,5,6
Summer,1956,India,59,1,1,0,0
Summer,1956,Chile,33,4,0,2,2
Summer,1956,Mexico,24,2,1,0,1
Summer,1956,Japan,112,17,4,10,3
Summer,1956,Thailand,35,0,0,0,0
Summer,1956,Nigeria,10,0,0,0,0
Summer,1956,Turkey,19,7,3,2,2
Summer,1956,Pakistan,55,1,0,1,0
Summer,1956,Bahamas,4,1,0,0,1
Summer,1956,Brazil,47,1,1,0,0
Summer,1956,Malaysia,34,0,0,0,0
Summer,1956,UK,197,24,6,7,11
Summer,1956,USA,305,74,32,25,17
Summer,1956,Italy,135,25,8,8,9
Summer,1956,Denmark,37,4,1,2,1
Summer,1956,South Korea,35,2,0,1,1
Summer,1956,Romania,50,13,5,3,5
Summer,1956,Kenya,25,0,0,0,0
Summer,1956,Serbia,35,3,0,3,0
Summer,1956,Czech Republic,63,6,1,4,1
Summer,1956,Finland,71,15,3,1,11
Summer,1956,Colombia,26,0,0,0,0
Summer,1956,Cuba,16,0,0,0,0
Summer,1956,Indonesia,22,0,0,0,0
Summer,1956,Germany,167,26,6,13,7
Summer,1956,Canada,96,6,2,1,3
Summer,1956,Hungary,111,26,9,10,7
Summer,1956,Argentina,35,2,0,1,1
Summer,1956,Myanmar,11,0,0,0,0
Summer,1956,Portugal,12,0,0,0,0
Summer,1956,Iran,17,5,2,2,1
Summer,1956,Ethiopia,12,0,0,0,0
Summer,1956,Peru,8,0,0,0,0
Summer,1956,Poland,64,9,1,4,4
Summer,1956,Ireland,18,5,1,1,3
Summer,1956,Luxembourg,11,0,0,0,0
Summer,1956,Fiji,5,0,0,0,0
Summer,1956,Venezuela,22,0,0,0,0
Summer,1956,Uruguay,21,1,0,0,1
Summer,1956,Greece,13,1,0,0,1
Summer,1956,Austria,34,2,0,0,2
Summer,1956,Switzerland,9,1,0,0,1
Summer,1956,,0,0,0,0,0
Summer,1956,Taiwan,20,0,0,0,0
Summer,1956,China,2,0,0,0,0
Summer,1956,Puerto Rico,10,0,0,0,0
Summer,1956,Spain,6,0,0,0,0
Summer,1956,Iceland,2,1,0,1,0
Summer,1956,Egypt,3,0,0,0,0
Summer,1956,Jamaica,6,0,0,0,0
Summer,1956,Sri Lanka,3,0,0,0,0
Summer,1956,Uganda,3,0,0,0,0
Summer,1956,Bermuda,3,0,0,0,0
Summer,1956,Cambodia,2,0,0,0,0
Summer,1956,Guyana,4,0,0,0,0
Summer,1956,Liberia,4,0,0,0,0
Summer,1956,Israel,3,0,0,0,0
Summer,1956,Vietnam,6,0,0,0,0
Summer,1956,Netherlands,1,0,0,0,0
Summer,1960,Norway,40,1,1,0,0
Summer,1960,Bulgaria,98,7,1,3,3
Summer,1960,Syria,74,2,0,1,1
Summer,1960,Sudan,10,0,0,0,0
Summer,1960,Iraq,21,1,0,0,1
Summer,1960,Pakistan,44,2,1,0,1
Summer,1960,Japan,162,18,4,7,7
Summer,1960,Israel,23,0,0,0,0
Summer,1960,Sweden,134,6,1,2,3
Summer,1960,Russia,283,103,43,29,31
Summer,1960,New Zealand,37,3,2,0,1
Summer,1960,Chile,9,0,0,0,0
Summer,1960,Philippines,40,0,0,0,0
Summer,1960,Belgium,101,4,0,2,2
Summer,1960,Argentina,92,2,0,1,1
Summer,1960,Mexico,69,1,0,0,1
Summer,1960,Canada,85,1,0,1,0
Summer,1960,Poland,185,21,4,6,11
Summer,1960,France,238,5,0,2,3
Summer,1960,UK,253,20,2,6,12
Summer,1960,Ghana,13,1,0,1,0
Summer,1960,Germany,294,42,12,19,11
Summer,1960,Ethiopia,10,1,1,0,0
Summer,1960,Morocco,47,1,0,1,0
Summer,1960,Uganda,10,0,0,0,0
Summer,1960,Curacao,5,0,0,0,0
Summer,1960,Kenya,27,0,0,0,0
Summer,1960,Uruguay,34,0,0,0,0
Summer,1960,Cuba,12,0,0,0,0
Summer,1960,Finland,117,5,1,1,3
Summer,1960,Turkey,49,9,7,2,0
Summer,1960,Nigeria,12,0,0,0,0
Summer,1960,Tunisia,42,0,0,0,0
Summer,1960,Spain,144,1,0,0,1
Summer,1960,Hungary,184,21,6,8,7
Summer,1960,Peru,31,0,0,0,0
Summer,1960,Switzerland,149,6,0,3,3
Summer,1960,Portugal,65,1,0,1,0
Summer,1960,Bahamas,13,0,0,0,0
Summer,1960,Italy,280,36,13,10,13
Summer,1960,Netherlands,110,3,0,1,2
Summer,1960,Brazil,72,2,0,0,2
Summer,1960,Malaysia,9,0,0,0,0
Summer,1960,Iran,23,4,0,1,3
Summer,1960,USA,292,71,34,21,16
Summer,1960,Australia,189,22,8,8,6
Summer,1960,Venezuela,36,1,0,0,1
Summer,1960,Lebanon,19,0,0,0,0
Summer,1960,South Korea,35,0,0,0,0
Summer,1960,Romania,98,10,3,1,6
Summer,1960,Denmark,100,6,2,3,1
Summer,1960,Colombia,16,0,0,0,0
Summer,1960,Luxembourg,52,0,0,0,0
Summer,1960,Serbia,116,2,1,1,0
Summer,1960,India,45,1,0,1,0
Summer,1960,Greece,48,1,1,0,0
Summer,1960,Guyana,5,0,0,0,0
Summer,1960,Thailand,20,0,0,0,0
Summer,1960,Ireland,49,0,0,0,0
Summer,1960,South Africa,55,3,0,1,2
Summer,1960,Austria,103,2,1,1,0
Summer,1960,Zimbabwe,14,0,0,0,0
Summer,1960,Puerto Rico,27,0,0,0,0
Summer,1960,Monaco,11,0,0,0,0
Summer,1960,Czech Republic,116,8,3,2,3
Summer,1960,Trinidad,13,2,0,0,2
Summer,1960,Indonesia,22,0,0,0,0
Summer,1960,Malta,10,0,0,0,0
Summer,1960,Liechtenstein,5,0,0,0,0
Summer,1960,Panama,6,0,0,0,0
Summer,1960,San Marino,9,0,0,0,0
Summer,1960,Taiwan,27,1,0,1,0
Summer,1960,China,4,0,0,0,0
Summer,1960,Myanmar,10,0,0,0,0
Summer,1960,,0,0,0,0,0
Summer,1960,Sri Lanka,5,0,0,0,0
Summer,1960,Bermuda,9,0,0,0,0
Summer,1960,Afghanistan,12,0,0,0,0
Summer,1960,Iceland,9,0,0,0,0
Summer,1960,Liberia,4,0,0,0,0
Summer,1960,Haiti,1,0,0,0,0
Summer,1960,Fiji,2,0,0,0,0
Summer,1960,Vietnam,3,0,0,0,0
Summer,1964,Russia,317,93,30,30,33
Summer,1964,Iraq,13,0,0,0,0
Summer,1964,Egypt,73,0,0,0,0
Summer,1964,Tanzania,4,0,0,0,0
Summer,1964,Pakistan,41,1,0,1,0
Summer,1964,Sweden,94,8,2,2,4
Summer,1964,Peru,31,0,0,0,0
Summer,1964,Japan,328,29,16,5,8
Summer,1964,Ghana,33,1,0,0,1
Summer,1964,Ivory Coast,9,0,0,0,0
Summer,1964,Argentina,102,1,0,1,0
Summer,1964,Bulgaria,63,10,3,5,2
Summer,1964,UK,204,18,4,12,2
Summer,1964,Brazil,61,1,0,0,1
Summer,1964,Germany,337,50,10,22,18
